"model","label_name","label_id","SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator","SegmentedPropertyCategoryCodeSequence.CodeValue","SegmentedPropertyCategoryCodeSequence.CodeMeaning","SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator","SegmentedPropertyTypeCodeSequence.CodeValue","SegmentedPropertyTypeCodeSequence.CodeMeaning","SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator","SegmentedPropertyTypeModifierCodeSequence.CodeValue","SegmentedPropertyTypeModifierCodeSequence.CodeMeaning","AnatomicRegionSequence.CodingSchemeDesignator","AnatomicRegionSequence.CodeValue","AnatomicRegionSequence.CodeMeaning","AnatomicRegionModifierSequence.CodingSchemeDesignator","AnatomicRegionModifierSequence.CodeValue","AnatomicRegionModifierSequence.CodeMeaning","recommendedDisplayRGBValue"
"total","vertebrae_C5","","SCT","123037004","Anatomical Structure","SCT","36978003","C5 vertebra","","","","","","","","","","[118, 40, 9]"
"total","vertebrae_C6","","SCT","123037004","Anatomical Structure","SCT","36054005","C6 vertebra","","","","","","","","","","[253, 134, 125]"
"total","vertebrae_C7","","SCT","123037004","Anatomical Structure","SCT","87391001","C7 vertebra","","","","","","","","","","[255, 0, 0]"
"total","vertebrae_L1","","SCT","123037004","Anatomical Structure","SCT","66794005","L1 vertebra","","","","","","","","","","[255, 255, 1]"
"total","vertebrae_L2","","SCT","123037004","Anatomical Structure","SCT","14293000","L2 vertebra","","","","","","","","","","[255, 144, 32]"
"total","vertebrae_L3","","SCT","123037004","Anatomical Structure","SCT","36470004","L3 vertebra","","","","","","","","","","[157, 126, 0]"
"total","vertebrae_L4","","SCT","123037004","Anatomical Structure","SCT","11994002","L4 vertebra","","","","","","","","","","[255, 255, 128]"
"total","vertebrae_L5","","SCT","123037004","Anatomical Structure","SCT","49668003","L5 vertebra","","","","","","","","","","[117, 78, 55]"
"total","vertebrae_T1","","SCT","123037004","Anatomical Structure","SCT","64864005","T1 vertebra","","","","","","","","","","[0, 2, 145]"
"total","vertebrae_T2","","SCT","123037004","Anatomical Structure","SCT","53733008","T2 vertebra","","","","","","","","","","[141, 186, 216]"
"total","vertebrae_T3","","SCT","123037004","Anatomical Structure","SCT","1626008","T3 vertebra","","","","","","","","","","[30, 128, 188]"
"total","vertebrae_T4","","SCT","123037004","Anatomical Structure","SCT","73071006","T4 vertebra","","","","","","","","","","[73, 228, 202]"
"total","vertebrae_T5","","SCT","123037004","Anatomical Structure","SCT","56401006","T5 vertebra","","","","","","","","","","[8, 82, 73]"
"total","vertebrae_T6","","SCT","123037004","Anatomical Structure","SCT","45296009","T6 vertebra","","","","","","","","","","[88, 119, 255]"
"total","vertebrae_T7","","SCT","123037004","Anatomical Structure","SCT","62487009","T7 vertebra","","","","","","","","","","[109, 0, 145]"
"total","vertebrae_T8","","SCT","123037004","Anatomical Structure","SCT","11068009","T8 vertebra","","","","","","","","","","[164, 216, 199]"
"total","vertebrae_T9","","SCT","123037004","Anatomical Structure","SCT","82687006","T9 vertebra","","","","","","","","","","[96, 188, 62]"
"total","vertebrae_T10","","SCT","123037004","Anatomical Structure","SCT","7610001","T10 vertebra","","","","","","","","","","[26, 97, 228]"
"total","vertebrae_T11","","SCT","123037004","Anatomical Structure","SCT","12989004","T11 vertebra","","","","","","","","","","[16, 164, 144]"
"total","vertebrae_T12","","SCT","123037004","Anatomical Structure","SCT","23215003","T12 vertebra","","","","","","","","","","[166, 89, 255]"
"total","heart","","SCT","123037004","Anatomical Structure","SCT","80891009","Heart","","","","","","","","","",""
"total","pulmonary_vein","","SCT","123037004","Anatomical Structure","SCT","122972007","Pulmonary vein","","","","","","","","","",""
"total","brachiocephalic_trunk","","SCT","123037004","Anatomical Structure","SCT","12691009","Brachiocephalic artery","","","","","","","","","",""
"total","subclavian_artery_right","","SCT","123037004","Anatomical Structure","SCT","29700009","Subclavian artery","SCT","24028007","Right","","","","","","",""
"total","subclavian_artery_left","","SCT","123037004","Anatomical Structure","SCT","29700009","Subclavian artery","SCT","7771000","Left","","","","","","",""
"total","common_carotid_artery_right","","SCT","123037004","Anatomical Structure","SCT","32062004","Common carotid artery","SCT","24028007","Right","","","","","","",""
"total","common_carotid_artery_left","","SCT","123037004","Anatomical Structure","SCT","32062004","Common carotid artery","SCT","7771000","Left","","","","","","",""
"total","brachiocephalic_vein_left","","SCT","123037004","Anatomical Structure","SCT","8887007","Brachiocephalic vein","SCT","7771000","Left","","","","","","",""
"total","brachiocephalic_vein_right","","SCT","123037004","Anatomical Structure","SCT","8887007","Brachiocephalic vein","SCT","24028007","Right","","","","","","",""
"total","atrial_appendage_left","","SCT","123037004","Anatomical Structure","SCT","68786006","Auricular appendage","SCT","7771000","Left","","","","","","",""
"total","superior_vena_cava","","SCT","123037004","Anatomical Structure","SCT","48345005","Superior vena cava","","","","","","","","","",""
"total","kidney_cyst_left","","SCT","49755003","Morphologically Altered Structure","SCT","367643001","Cyst","","","","SCT","64033007","Kidney","SCT","7771000","Left",""
"total","kidney_cyst_right","","SCT","49755003","Morphologically Altered Structure","SCT","367643001","Cyst","","","","SCT","64033007","Kidney","SCT","24028007","Right",""
"total","prostate","","SCT","123037004","Anatomical Structure","SCT","41216001","Prostate","","","","","","","","","",""
"total","femur","","SCT","123037004","Anatomical Structure","SCT","71341001","Femur","","","","","","","","","",""
"total","patella","","SCT","123037004","Anatomical Structure","SCT","64234005","Patella","","","","","","","","","",""
