,Structure,SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator,SegmentedPropertyCategoryCodeSequence.CodeValue,SegmentedPropertyCategoryCodeSequence.CodeMeaning,SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeCodeSequence.CodeValue,SegmentedPropertyTypeCodeSequence.CodeMeaning,SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeModifierCodeSequence.CodeValue,SegmentedPropertyTypeModifierCodeSequence.CodeMeaning,SegmentedPropertyCategoryCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyCategoryCodeSequence.CodeValue.SNOMEDCTAcceptableTerms,SegmentedPropertyTypeCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyTypeCodeSequence.CodeValue.SNOMEDCTAcceptableTerms,SegmentedPropertyTypeModifierCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyTypeModifierCodeSequence.CodeValue.SNOMEDCTAcceptableTerms
28,humerus_left,SCT,123037004,Anatomical Structure,SCT,85050009,Humerus,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of humerus', 'Bone structure of humerus (body structure)']",['Humerus'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
29,humerus_right,SCT,123037004,Anatomical Structure,SCT,85050009,Humerus,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of humerus', 'Bone structure of humerus (body structure)']",['Humerus'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
30,iliac_artery_left,SCT,123037004,Anatomical Structure,SCT,73634005,Common iliac artery,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Common iliac artery structure (body structure)', 'Common iliac artery structure']",['Common iliac artery'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
31,iliac_artery_right,SCT,123037004,Anatomical Structure,SCT,73634005,Common iliac artery,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Common iliac artery structure (body structure)', 'Common iliac artery structure']",['Common iliac artery'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
32,iliac_vena_left,SCT,123037004,Anatomical Structure,SCT,46027005,Common iliac vein,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Structure of common iliac vein (body structure)', 'Structure of common iliac vein']",['Common iliac vein'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
33,iliac_vena_right,SCT,123037004,Anatomical Structure,SCT,46027005,Common iliac vein,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Structure of common iliac vein (body structure)', 'Structure of common iliac vein']",['Common iliac vein'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
34,iliopsoas_left,SCT,123037004,Anatomical Structure,SCT,68455001,Iliopsoas muscle,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Structure of iliopsoas muscle (body structure)', 'Structure of iliopsoas muscle']",['Iliopsoas muscle'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
35,iliopsoas_right,SCT,123037004,Anatomical Structure,SCT,68455001,Iliopsoas muscle,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Structure of iliopsoas muscle (body structure)', 'Structure of iliopsoas muscle']",['Iliopsoas muscle'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
36,inferior_vena_cava,SCT,123037004,Anatomical Structure,SCT,64131007,Inferior vena cava,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Inferior vena cava structure (body structure)', 'Inferior vena cava structure']","['Inferior vena cava', 'Posterior vena cava']",[],[]
37,kidney_left,SCT,123037004,Anatomical Structure,SCT,64033007,Kidney,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Kidney structure (body structure)', 'Kidney structure']","['Renal structure', 'Kidney']","['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
38,kidney_right,SCT,123037004,Anatomical Structure,SCT,64033007,Kidney,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Kidney structure (body structure)', 'Kidney structure']","['Renal structure', 'Kidney']","['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
39,liver,SCT,123037004,Anatomical Structure,SCT,10200004,Liver,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Liver structure (body structure)', 'Liver structure']",['Liver'],[],[]
40,lung_lower_lobe_left,SCT,123037004,Anatomical Structure,SCT,90572001,Lower lobe of lung,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Structure of lower lobe of lung (body structure)', 'Structure of lower lobe of lung']",['Lower lobe of lung'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
41,lung_lower_lobe_right,SCT,123037004,Anatomical Structure,SCT,90572001,Lower lobe of lung,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Structure of lower lobe of lung (body structure)', 'Structure of lower lobe of lung']",['Lower lobe of lung'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
42,lung_middle_lobe_right,SCT,123037004,Anatomical Structure,SCT,72481006,Middle lobe of right lung,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Structure of middle lobe of right lung', 'Structure of middle lobe of right lung (body structure)']","['Right middle lobe of lung', 'Structure of right middle lobe of lung', 'Middle lobe of right lung', 'Intermediate lobe of right lung']",[],[]
43,lung_upper_lobe_left,SCT,123037004,Anatomical Structure,SCT,45653009,Upper lobe of lung,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Structure of upper lobe of lung (body structure)', 'Structure of upper lobe of lung']",['Upper lobe of lung'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
44,lung_upper_lobe_right,SCT,123037004,Anatomical Structure,SCT,45653009,Upper lobe of lung,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Structure of upper lobe of lung (body structure)', 'Structure of upper lobe of lung']",['Upper lobe of lung'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
45,pancreas,SCT,123037004,Anatomical Structure,SCT,15776009,Pancreas,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Pancreatic structure', 'Pancreatic structure (body structure)']","['Exocrine and endocrine pancreas', 'Pancreas']",[],[]
46,portal_vein_and_splenic_vein,SCT,123037004,Anatomical Structure,SCT,110765007,Portal vein and splenic vein,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Portal vein and splenic vein, CS', 'Portal vein and splenic vein (combined site) (body structure)']",['Portal vein and splenic vein (combined site)'],[],[]
47,pulmonary_artery,SCT,123037004,Anatomical Structure,SCT,81040000,Pulmonary artery,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Pulmonary artery structure (body structure)', 'Pulmonary artery structure']",['Pulmonary artery'],[],[]
48,rib_left_1,SCT,123037004,Anatomical Structure,SCT,48535007,First rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of first rib', 'Bone structure of first rib (body structure)']",['First rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
49,rib_left_2,SCT,123037004,Anatomical Structure,SCT,78247007,Second rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of second rib (body structure)', 'Bone structure of second rib']",['Second rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
50,rib_left_3,SCT,123037004,Anatomical Structure,SCT,25888004,Third rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of third rib (body structure)', 'Bone structure of third rib']",['Third rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
51,rib_left_4,SCT,123037004,Anatomical Structure,SCT,25523003,Fourth rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of fourth rib', 'Bone structure of fourth rib (body structure)']",['Fourth rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
52,rib_left_5,SCT,123037004,Anatomical Structure,SCT,15339008,Fifth rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of fifth rib (body structure)', 'Bone structure of fifth rib']",['Fifth rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
53,rib_left_6,SCT,123037004,Anatomical Structure,SCT,59558009,Sixth rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of sixth rib', 'Bone structure of sixth rib (body structure)']",['Sixth rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
54,rib_left_7,SCT,123037004,Anatomical Structure,SCT,24915002,Seventh rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of seventh rib (body structure)', 'Bone structure of seventh rib']",['Seventh rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
55,rib_left_8,SCT,123037004,Anatomical Structure,SCT,5953002,Eighth rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of eighth rib', 'Bone structure of eighth rib (body structure)']",['Eighth rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
