entity:twoVM_full_id	SeriesInstanceUIDs	idc-version	n_series	sum_voxels	sum_slices	sum_size_MB	max_slices
21	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.1.21057930909118473276661414082065894790"", ""1.3.6.1.4.1.14519.5.2.1.150469513155179646895707852261030149081"", ""1.3.6.1.4.1.14519.5.2.1.1.20698185180149776590096203508723919989"", ""1.3.6.1.4.1.14519.5.2.1.1.17932063767905127694334435868077798958"", ""1.3.6.1.4.1.14519.5.2.1.241546165040451224422679579756798844407"", ""1.3.6.1.4.1.14519.5.2.1.254412759245013212520272100399175924928"", ""1.3.6.1.4.1.14519.5.2.1.186178430564497783815287193478630944668"", ""1.3.6.1.4.1.14519.5.2.1.125432111031333455900617598812138833660"", ""1.3.6.1.4.1.14519.5.2.1.1.24466694663333010471872020906255587797""]}"	v24	9	292496512	995	588.4	202
22	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.1.23052171319028100432127287030257279785"", ""1.3.6.1.4.1.14519.5.2.1.1.33225844980366906776462584749465539956"", ""1.3.6.1.4.1.14519.5.2.1.1.31490206587562131610796474232028385366"", ""1.3.6.1.4.1.14519.5.2.1.1.24055821036867646296564609270056343811"", ""1.3.6.1.4.1.14519.5.2.1.40767453523250215779657608271466804181"", ""1.3.6.1.4.1.14519.5.2.1.106169640122392412201793808641024615369"", ""1.3.6.1.4.1.14519.5.2.1.1.70384148760029628630170825617834053097""]}"	v24	7	263950336	951	531.4	213
23	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.1.21787666599590798624202171032302865203"", ""1.3.6.1.4.1.14519.5.2.1.1.18483965551865499398453277270680229821"", ""1.3.6.1.4.1.14519.5.2.1.140901209364807046113858720053203448550"", ""1.3.6.1.4.1.14519.5.2.1.319589379835790918111877943231841423166"", ""1.3.6.1.4.1.14519.5.2.1.239825453455577011365511196798"", ""1.3.6.1.4.1.14519.5.2.1.289414702365753147863791917676106152774""]}"	v24	6	294824960	982	592.9	412
24	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.1.31650633180018375816680909563526416710"", ""1.3.6.1.4.1.14519.5.2.1.242282537451231478319338710318943495142"", ""1.3.6.1.4.1.14519.5.2.1.1.47429896087368822010711997879443580287"", ""1.3.6.1.4.1.14519.5.2.1.278560929362877889974704954720790650480"", ""1.3.6.1.4.1.14519.5.2.1.32032101637976803294831709037335577793"", ""1.3.6.1.4.1.14519.5.2.1.269794140883790443084340013536168043646"", ""1.3.6.1.4.1.14519.5.2.1.163042345598720190299782186650601097717"", ""1.3.6.1.4.1.14519.5.2.1.157143377592507800666616669746754690651"", ""1.3.6.1.4.1.14519.5.2.1.68195402223905408934182681149533516891"", ""1.3.6.1.4.1.14519.5.2.1.160966906247193003320427549798324017685""]}"	v24	10	311527424	1160	626.8	216
25	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.339854077180917273268250093724742857660"", ""1.3.6.1.4.1.14519.5.2.1.1.24269206054241593117733624590094218650"", ""1.3.6.1.4.1.14519.5.2.1.66649546544096016419523972190458651251"", ""1.3.6.1.4.1.14519.5.2.1.1.20170219500834370347493427733429225057"", ""1.3.6.1.4.1.14519.5.2.1.1.33573338851991666307465370876940965420"", ""1.3.6.1.4.1.14519.5.2.1.298626045334759761281863964247336769046"", ""1.3.6.1.4.1.14519.5.2.1.108786950073884345024850084984111851234"", ""1.3.6.1.4.1.14519.5.2.1.200665579881756397970368284277318432730"", ""1.3.6.1.4.1.14519.5.2.1.1427.3349.341219172626478111181570898529"", ""1.3.6.1.4.1.14519.5.2.1.6450.2626.283271425809761560802148608862""]}"	v24	10	265717248	916	534.8	193
26	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.6450.2626.150080986741932875423368649977"", ""1.3.6.1.4.1.14519.5.2.1.6450.2626.806376379393122572012545338624"", ""1.3.6.1.4.1.14519.5.2.1.6450.2626.621848376095075026068298245047"", ""1.3.6.1.4.1.14519.5.2.1.6450.2626.721846106867053149630102070943"", ""1.3.6.1.4.1.14519.5.2.1.6450.2626.191408692797712082869654195604"", ""1.3.6.1.4.1.14519.5.2.1.6450.2626.114038257789527733964474633601""]}"	v24	6	236453888	902	476.7	396
27	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.6450.2626.267845940569468452412612829107"", ""1.3.6.1.4.1.14519.5.2.1.237171806990430081986286573998653861792"", ""1.3.6.1.4.1.14519.5.2.1.211008142524560003951886355912626063954"", ""1.3.6.1.4.1.14519.5.2.1.190738758608436907826741043480210378147"", ""1.3.6.1.4.1.14519.5.2.1.2857.3304.251504469420942685189666680104"", ""1.3.6.1.4.1.14519.5.2.1.7085.2626.240369248030371145534803290408"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.156094327567545118484994451251""]}"	v24	7	278775104	969	561.9	253
28	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.2932.1975.106756844835533656529983969250""]}"	v24	1	204996608	782	412.4	782
29	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.3320.3273.203826671965686165578618969882"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.312070996386544313891914049239"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.255689725761567654962347000997""]}"	v24	3	305922048	1167	615.9	495
30	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.3320.3273.520394473316421428578404793774"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.244629513270671388275890790401"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.305119060012316454261742499793"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.884477704810589822195651111864""]}"	v24	4	240123904	916	483.3	503
31	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.3320.3273.831065587879893843283735365010"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.115483888837173222953100114900"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.865562650966317615534062854390"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.159347747980897769862689962232"", ""1.3.6.1.4.1.14519.5.2.1.4801.5885.167010801753318846504343298567"", ""1.3.6.1.4.1.14519.5.2.1.4801.5885.339106436526267963147865977129""]}"	v24	6	280494080	1070	565.1	304
32	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.3320.3273.250200284425048012810984538443"", ""1.3.6.1.4.1.14519.5.2.1.7085.2626.278409639046535959242494958052"", ""1.3.6.1.4.1.14519.5.2.1.7085.2626.302526177505011049409487390572"", ""1.3.6.1.4.1.14519.5.2.1.2857.3159.764225586544302758289280296197"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.203217459941455840863368045673""]}"	v24	5	159907840	610	321.9	228
33	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.3320.3273.265219228892235324288549536278"", ""1.3.6.1.4.1.14519.5.2.1.2932.1975.186320384933119152505528037802"", ""1.3.6.1.4.1.14519.5.2.1.2932.1975.269258857288458550922756052342""]}"	v24	3	309592064	1181	623.2	885
34	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.2932.1975.304245296076297255392925928948"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.216083731978528151846607648117"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.162171181151012153661420105500"", ""1.3.6.1.4.1.14519.5.2.1.4801.5885.246573176093032448887215728125""]}"	v24	4	257425408	982	519.3	563
35	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.4801.5885.147975001059227642571102900673"", ""1.3.6.1.4.1.14519.5.2.1.4801.5885.113884838686340531426541864075"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.603812181914165729383655141220"", ""1.3.6.1.4.1.14519.5.2.1.2932.1975.263879183590429812524661596864"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.931706046404928248503343914500"", ""1.3.6.1.4.1.14519.5.2.1.2857.5885.906267766834822203914369832116""]}"	v24	6	273213920	746	548.8	251
36	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.2857.5885.220392414071708271991466640385"", ""1.3.6.1.4.1.14519.5.2.1.1427.5885.108887003869590585195981735716"", ""1.3.6.1.4.1.14519.5.2.1.1427.5885.199415596728615970016591809747"", ""1.3.6.1.4.1.14519.5.2.1.4320.5885.101839196455054321363367605040"", ""1.3.6.1.4.1.14519.5.2.1.4320.5885.273472054323710345523550410419"", ""1.3.6.1.4.1.14519.5.2.1.4320.5885.160304984972522720334727096658"", ""1.3.6.1.4.1.14519.5.2.1.7085.2626.386536609837235111399493634163""]}"	v24	7	305231872	1091	614.7	281
37	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.3320.3273.164776163136916365621928035448"", ""1.3.6.1.4.1.14519.5.2.1.4801.5885.219291053252147396105775551186"", ""1.3.6.1.4.1.14519.5.2.1.4801.5885.288284175494832940266795848214""]}"	v24	3	127401984	486	257.0	240
38	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.2932.1975.134591547540937065322095883563""]}"	v24	1	259522560	440	520.4	440
39	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.2932.1975.319738355605489346002421981300"", ""1.3.6.1.4.1.14519.5.2.1.7085.5885.265283649568652998885984796148""]}"	v24	2	170393600	650	343.2	540
